config_name,ALPHA,BETA,GAMMA,HER,HER_reduction_vs_baseline,OSR,HitRate@10,NDCG@10,UtilityLoss_vs_Baseline,EvalSessions,OSR_numerator,OSR_denominator,Action_keep,Action_down_rank,Action_replace,Action_block
a0.30_b0.80_g0.05,0.3,0.8,0.05,4.776689754000478e-05,0.04416529783038676,0.27998885306420873,1.0,0.5400763922358847,0.010964940365989318,39107,186878,667448,669647,32,241,29556
a0.30_b0.80_g0.15,0.3,0.8,0.15,4.776689754000478e-05,0.04416529783038676,0.2799813618439189,1.0,0.5387404588369968,0.013411418286207311,38934,186873,667448,669647,32,241,29556
a0.20_b0.80_g0.05,0.2,0.8,0.05,4.776689754000478e-05,0.04416529783038676,0.26656009157267685,1.0,0.5371026313212961,0.01641075108050914,39101,177915,667448,669647,32,241,29556
a0.10_b0.80_g0.05,0.1,0.8,0.05,4.776689754000478e-05,0.04416529783038676,0.2590508923541609,1.0,0.5368167491953558,0.01693428339842268,39016,172903,667448,669647,32,241,29556
a0.30_b0.60_g0.05,0.3,0.6,0.05,4.776689754000478e-05,0.04416529783038676,0.26762534309788927,1.0,0.5366051180629645,0.017321840811881394,39224,178626,667448,669647,32,241,29556
a0.20_b0.60_g0.05,0.2,0.6,0.05,4.776689754000478e-05,0.04416529783038676,0.2567256175762007,1.0,0.5363422336256081,0.017803257753846388,39206,171351,667448,669647,32,241,29556
a0.10_b0.60_g0.05,0.1,0.6,0.05,4.776689754000478e-05,0.04416529783038676,0.24964791264637845,1.0,0.5363154887571677,0.01785223529282618,39048,166627,667448,669647,32,241,29556
a0.30_b0.40_g0.05,0.3,0.4,0.05,4.776689754000478e-05,0.04416529783038676,0.2568874279344608,1.0,0.5361565352061931,0.01814332491834448,39284,171459,667448,669647,32,241,29556
a0.30_b0.80_g0.25,0.3,0.8,0.25,4.776689754000478e-05,0.04416529783038676,0.2812458798288406,1.0,0.5361261367653646,0.018198993198183848,38777,187717,667448,669647,32,241,29556
a0.20_b0.40_g0.05,0.2,0.4,0.05,4.776689754000478e-05,0.04416529783038676,0.2477990794788508,1.0,0.5358328148836784,0.018736149846606178,39234,165393,667448,669647,32,241,29556
a0.10_b0.40_g0.05,0.1,0.4,0.05,4.776689754000478e-05,0.04416529783038676,0.2365622490441203,1.0,0.5355962978519342,0.019169280492489744,39039,157893,667448,669647,32,241,29556
a0.30_b0.60_g0.15,0.3,0.6,0.15,4.776689754000478e-05,0.04416529783038676,0.2685212930445518,1.0,0.5355409841499392,0.019270575774671367,39034,179224,667448,669647,32,241,29556
a0.20_b0.80_g0.15,0.2,0.8,0.15,4.776689754000478e-05,0.04416529783038676,0.26914755906078075,1.0,0.5355005698721735,0.019344585929891397,38833,179642,667448,669647,32,241,29556
a0.30_b0.40_g0.15,0.3,0.4,0.15,4.776689754000478e-05,0.04416529783038676,0.2586943102683655,1.0,0.5348011808197473,0.020625368247204175,39120,172665,667448,669647,32,241,29556
a0.20_b0.60_g0.15,0.2,0.6,0.15,4.776689754000478e-05,0.04416529783038676,0.2597925231628531,1.0,0.5347960671618144,0.02063473282423679,38931,173398,667448,669647,32,241,29556
a0.20_b0.40_g0.15,0.2,0.4,0.15,4.776689754000478e-05,0.04416529783038676,0.25152371420694947,1.0,0.5341058537154678,0.021898711970300664,38978,167879,667448,669647,32,241,29556
a0.30_b0.60_g0.25,0.3,0.6,0.25,4.776689754000478e-05,0.04416529783038676,0.27048399276048474,1.0,0.5336231954842444,0.022782597878597106,38848,180534,667448,669647,32,241,29556
a0.30_b0.40_g0.25,0.3,0.4,0.25,4.776689754000478e-05,0.04416529783038676,0.26116791120806415,1.0,0.532912834135586,0.024083473623088505,38924,174316,667448,669647,32,241,29556
a0.10_b0.80_g0.15,0.1,0.8,0.15,4.776689754000478e-05,0.04416529783038676,0.26476519519123587,1.0,0.5323102615159985,0.025186957232657695,38559,176717,667448,669647,32,241,29556
a0.10_b0.60_g0.15,0.1,0.6,0.15,4.776689754000478e-05,0.04416529783038676,0.2560783761431602,1.0,0.5318185209598404,0.0260874754876231,38585,170919,667448,669647,32,241,29556
a0.20_b0.80_g0.25,0.2,0.8,0.25,4.776689754000478e-05,0.04416529783038676,0.27242571705960617,1.0,0.531642164972011,0.026410433975435462,38615,181830,667448,669647,32,241,29556
a0.10_b0.40_g0.15,0.1,0.4,0.15,4.776689754000478e-05,0.04416529783038676,0.2438002660881447,1.0,0.5315113744773474,0.02664994895248089,38550,162724,667448,669647,32,241,29556
a0.20_b0.60_g0.25,0.2,0.6,0.25,4.776689754000478e-05,0.04416529783038676,0.2636415121477628,1.0,0.5311923373246403,0.0272341976511637,38671,175967,667448,669647,32,241,29556
a0.20_b0.40_g0.25,0.2,0.4,0.25,4.776689754000478e-05,0.04416529783038676,0.25577573084345145,1.0,0.5306519613291802,0.028223781370389157,38689,170717,667448,669647,32,241,29556
a0.10_b0.60_g0.25,0.1,0.6,0.25,4.776689754000478e-05,0.04416529783038676,0.2619440016300895,1.0,0.523974831258443,0.04045152513522178,38186,174834,667448,669647,32,241,29556
a0.10_b0.80_g0.25,0.1,0.8,0.25,4.776689754000478e-05,0.04416529783038676,0.2704045858254126,1.0,0.5239741984451864,0.04045268399812701,38175,180481,667448,669647,32,241,29556
a0.10_b0.40_g0.25,0.1,0.4,0.25,4.776689754000478e-05,0.04416529783038676,0.2500868981553619,1.0,0.5238032725049249,0.040765698508573846,38172,166920,667448,669647,32,241,29556
